,Unnamed: 0,timestamp,county,city,state,country,transport,safe_score,safe_score_pas,covid_place,fips,lat,lon,cases
0,0,2021-03-02 02:27:49.253,Santa Clara County,Sunnyvale,California,USA,Drive,7,8,,06085,37.3688301,-122.0363496,175
1,17,2021-03-02 04:10:05.603,Santa Clara County,Palo Alto,California,USA,Drive,1,5,Airports,06085,37.4443293,-122.1598465,175
2,1,2021-03-02 02:31:10.445,Los Angeles County,Pasadena,California,USA,Foot,3,3,"masks, alcohol wipes",06037,34.1476452,-118.1444779,190
3,2,2021-03-02 02:32:17.160,Los Angeles County,Pasadena,California,USA,Drive,6,6,"Not sure, the only place I went to was the grocery store",06037,34.1476452,-118.1444779,190
4,3,2021-03-02 02:34:30.755,Los Angeles County,Pasadena,California,USA,Drive,4,4,"the grocery store, since it's the only place I went and saw strangers",06037,34.1476452,-118.1444779,190
5,4,2021-03-02 02:34:41.312,Los Angeles County,Pasadena,California,USA,Foot,5,5,,06037,34.1476452,-118.1444779,190
6,21,2021-03-02 08:48:05.851,Los Angeles County,Los Angeles,California,USA,Flight,2,6,,06037,34.0536909,-118.242766,190
7,25,2021-03-02 10:16:34.055,Los Angeles County,Pasadena,California,USA,Drive,5,5,,06037,34.1476452,-118.1444779,190
8,34,2021-03-02 13:35:50.319,Los Angeles County,Pasadena,California,USA,Foot,4,4,"Being isolated/on my own but near campus, and knowing that others had chosen to live together in the same area. Fuck you all",06037,34.1476452,-118.1444779,190
9,36,2021-03-02 15:05:29.737,Los Angeles County,Pasadena,California,USA,Drive,4,4,The 99 Ranch,06037,34.1476452,-118.1444779,190
10,37,2021-03-02 15:21:52.839,Los Angeles County,East San Gabriel,California,USA,Drive,6,7,,06037,34.11726715,-118.08264947576147,190
11,38,2021-03-02 15:47:15.466,Los Angeles County,Los Angeles,California,USA,Drive,7,6,,06037,34.0536909,-118.242766,190
12,45,2021-03-02 15:56:50.732,Los Angeles County,Los Angeles,California,USA,Drive,6,4,,06037,34.0536909,-118.242766,190
13,46,2021-03-02 16:00:13.015,Los Angeles County,Hacienda Heights,California,USA,Drive,5,5,Los Angeles ,06037,33.9930677,-117.968675,190
14,54,2021-03-02 17:00:17.213,Los Angeles County,San Marino,California,USA,Drive,7,5,restaurants,06037,34.1215947,-118.1057394,190
15,58,2021-03-02 17:36:43.402,Los Angeles County,Pasadena,California,USA,Drive,3,0,,06037,34.1476452,-118.1444779,190
16,74,2021-03-03 00:03:56.886,Los Angeles County,Los Angeles,California,USA,Drive,6,7,Beaches/restaurants/bars,06037,34.0536909,-118.242766,190
17,5,2021-03-02 02:35:49.414,Dane County,Madison,Wisconsin,USA,Flight,2,4,"In terms of within my city, bars and the state university campus. In the broader state area, no cities in particular really.",55025,43.074761,-89.3837613,23
18,16,2021-03-02 03:55:54.886,Dane county,Madison,Wisconsin,USA,Flight,2,2,bars,55025,43.074761,-89.3837613,23
19,6,2021-03-02 02:35:50.649,Bexar County,San Antonio,Texas,USA,Flight,4,3,"Schools; my mom is a PE teacher, and TX reopened early",48029,29.4246002,-98.4951405,13
20,8,2021-03-02 02:40:47.543,,,Virginia,USA,,6,6,Restaurants,51147,37.1232245,-78.4927721,1
21,9,2021-03-02 02:44:19.793,Montgomery County,Bethesda,Maryland,USA,Flight,3,5,"Los Angeles (LAX, in particular)",24031,38.9819845,-77.12423413116392,31
22,24,2021-03-02 10:06:00.552,Montgomery County,Bethesda,Maryland,USA,Flight,1,5,,24031,38.9819845,-77.12423413116392,31
23,10,2021-03-02 02:51:34.239,McDonough County,,Georgia,USA,Flight,1,0,"I'm a firm believer the COVID pandemic is ""over sold"" as being a deadly pandemic. I spent 9 months in GA, never socially distances, never wore a mask, just lived my life to the fullest, never got COVID. Meanwhile, I actually did get COVID in WI while being forced to wear a mask (They wouldn't let you in stores etc if you weren't wearing one). In all, it ended up being a bad SNIFFLE. Absolutely no reason our country should of been shutdown, or Trump should of been blamed for those deaths. Those are individuals that should of died years ago if it wasn't for modern medicine. ",13151,33.4473361,-84.1468616,2
